file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0147_0919_6210298_to_6213694,དཀའ་ལས་རྒྱག་ཡ་ལ་ཐེ་ཚོམ་རྩ་བ་ནས་མེད་ཟེ་བྱས་བྱས་ཞུ་ཡ་ཡིན་ཐུགས་ཆེ་གནང་།  ,dka' las rgyag ya la the tshom rtsa ba nas med ze byas byas zhu ya yin thugs che gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0147_0919_6210298_to_6213694.wav,STT_PC,3,70,3.396,wav16k/STT_PC0147_0919_6210298_to_6213694.wav,དཀའ་ལས་རྒྱག་ཡ་ལ། ཐེ་ཚོམ་རྩ་བ་ནས་མེད་ཟེ་བྱས་བྱས་ཞུ་ཡ་ཡིན། ཐུགས་རཆེ་གནང་།
STT_PC0147_0921_6221629_to_6225912,རེད་ད་ང་ཚོ་ག་དུས་ཡིན་ནས་མཇུག་སྡོམ་ཡ་དེ་བཟང་སྤྱོད་དང་ལྡན་པའི་ཐོག་ནས།  ,red da nga tsho ga dus yin nas mjug sdom ya de bzang spyod dang ldan pa'i thog nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0147_0921_6221629_to_6225912.wav,STT_PC,3,69,4.283,wav16k/STT_PC0147_0921_6221629_to_6225912.wav,རེད་ ད་ང་ཚོ་ག་དུས་ཡིན་ནས་མཇུག་སྡོམ་ཡ་དེ་བཟང་སྤྱོད་དང་ལྡན་པའི་ཐོག་ནས།
STT_MV0019_0062_489512_to_493290,ཁེ་སང་ད་ལྟ་བར་དུ་རང་ག་བར་ཕྱིན་པ་གཉིས་པ་ ,khe sang da lta bar du rang ga bar phyin pa gnyis pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0062_489512_to_493290.wav,STT_MV,3,40,3.778,wav16k/STT_MV0019_0062_489512_to_493290.wav,ཁ་ས་ངས་ད་ལྟ་བར་དུ་རང་ག་བར་ཕྱིན་པ། གཉིས་པ་
STT_MV0019_0068_523488_to_526928,ཡིན་ནས་ང་ཚོས་དགྲ་བོ་དེ་ཚོ་བུད་དགོས་པ་བཟོ་དུས་རང་གཞི་ནས་ལོག་ཡོང་པ་རེད།  ,yin nas nga tshos dgra bo de tsho bud dgos pa bzo dus rang gzhi nas log yong pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0068_523488_to_526928.wav,STT_MV,3,71,3.44,wav16k/STT_MV0019_0068_523488_to_526928.wav,ཡིན་ནས་ང་ཚོའི་དགྲ་བོ་དེ་ཚོ་བོས་དགོས་བཟོ་དུས་རང་གཞི་ནས་ལོག་ཡོང་པ་རེད།
STT_MV0019_0069_526928_to_533602,ངས་བལྟས་ན་དུས་ཚོད་དེ་སྐབས་ཁེལ་པོ་ཞེ་བོ་བྱུང་འདུག་ཀ ,ngas bltas na dus tshod de skabs khel po zhe bo byung 'dug ka_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0069_526928_to_533602.wav,STT_MV,3,51,6.674,wav16k/STT_MV0019_0069_526928_to_533602.wav,ངས་བལྟས་ན་དུས་ཚོད་འདེ་སྐབས་ཁེལ་པོ་ཞེ་པོ་བྱུང་འདུག་ག
STT_MV0019_0071_538338_to_540630,པ་ཕའི་རྩར་ཕྱིན་ནས་ག་རེ་བྱེད་ཀིན་བསྡད་པ།  ,pa pha'i rtsar phyin nas ga re byed kin bsdad pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0071_538338_to_540630.wav,STT_MV,3,41,2.292,wav16k/STT_MV0019_0071_538338_to_540630.wav,པ་ཕའི་རྩར་ཕྱིན་ནས་ག་རེ་བྱེད་ཀིན་བསྡད་པ།
STT_MV0019_0073_550248_to_555818,མ་ཧུང་པོ་ཁྱོད་རང་ཁ་དེ་བཙེམ་བཞག་དགོས་འདུག་གེ།  ,ma hung po khyod rang kha de btsem bzhag dgos 'dug ge/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0073_550248_to_555818.wav,STT_MV,3,46,5.57,wav16k/STT_MV0019_0073_550248_to_555818.wav,མཱ་ཧུང་པོའོ་ཁྱེད་རའི་ཁ་འདི་བཙེམ་བཞག་དགོས་འདུག་གེ
STT_CS-X-2012-M-D-B06-5-R-02_0048_418609_to_420656,ཨེ་འདྲའི་ཡག་པོ་འགྲོ་འདུག་ད་རཱ། ཨེ་ནས་ག་རེ་རེད།  ,e 'dra'i yag po 'gro 'dug da rA/_e nas ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0048_418609_to_420656.wav,STT_CS,3,48,2.047,wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0048_418609_to_420656.wav,ཨེ་འདྲའི་ཡག་པོ་འགྲོ་འདུག་ད་རཱ། ཨེ་ནས་ག་རེ་རེད།
STT_MV0019_0080_623614_to_633382,ད་རེས་སྡེབ་རྩིས་བརྒྱག་ཡ་དུས་ལ་བབས་ཤག ང་མོས་མཐུན་ཡོད་ཁོ་ཁྲིམས་ལ་མ་སྦྱར་མ་བ་ཡིན་ན་མུ་མཐུད་གསར་བརྗེའི་ཁེ་ཕན་ལ་གནོད་སྐྱེལ་གི་རེད་སི་ཧེ་རང་གིས་ཤོད་ད།  ,da res sdeb rtsis brgyag ya dus la babs shag_nga mos mthun yod kho khrims la ma sbyar ma ba yin na mu mthud gsar brje'i khe phan la gnod skyel gi red si he rang gis shod da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0019_0080_623614_to_633382.wav,STT_MV,3,146,9.768,wav16k/STT_MV0019_0080_623614_to_633382.wav,ད་རེས་ལྡེབ་རྩིག་རྒྱག་དུས་ལ་བབས་ཤག ང་མོས་མཐུན་ཡོད། ཁོ་ཁྲིམས་ལ་མ་སྦྱར་བ་ཡིན་ན། མུ་མཐུད་གསར་བརྗེའི་ཁེ་ཕན་ལ་གནོད་སྐྱེལ་གི་རེད། སི་ཧེ་ལམ་གིག་ཤོད་ད།
STT_CS-X-2012-M-D-B06-5-R-02_0062_511186_to_513250,དེ་སྐབས་དུས་ཟླ་བ་གཉིས་གུང་གསེང་རེད་འདུག་ད་རཱ།  ,de skabs dus zla ba gnyis gung gseng red 'dug da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0062_511186_to_513250.wav,STT_CS,3,47,2.064,wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0062_511186_to_513250.wav,ཁྱོན་ཚོ་དི་ཟླ་བ་གཉིས་གུང་གསེང་རེད་འདུག་ད་རཱ།
